section,best,ref,Diff,best: dt,ref: dt,Diff
0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.844,7.411,0.433,7.844,7.411,0.4330000000000007
2,12.469,12.006,0.463,4.625,4.595,0.03000000000000025
3,15.861,15.234,0.627,3.392,3.228,0.1639999999999997
4,20.074,19.203,0.871,4.213,3.969,0.24400000000000022
5,30.252,29.098,1.154,10.178,9.895,0.28300000000000125
6,38.314,36.731,1.583,8.062,7.633,0.4289999999999994
