1234 DONNA
5
6
7
7
9
10
11
12
S-hs'4LIFE
RBreaker
モスバーガー
カーニバーガー
KUSAAN
S-hs'4INA
トゥットゥルー*⌒★
R Thunder
LB6
トゥットゥルー*⌒☆
LB2
SAWAYAN
a
77
73
71
69
58
56
51
51
48
41
32
29, 18, 9,673, 9,673, 607,18, 607
1234, 56, 9,56, 187,28, 187,28, 9
DONNA, 56, 214,56, 448,28, 448,28, 214
5, 28, 216,57, 216,57, 243,28, 243
6, 29, 268,56, 268,56, 294,29, 294
7, 28, 319,58, 319,58, 349,28, 349
7, 28, 370,58, 370,58, 400,28, 400
9, 26, 422,56, 422,56, 450,26, 450
10, 18, 473,72, 473,72, 501,18, 501
11, 18, 525,67, 525,67, 555,18, 555
12, 19, 577,70, 577,70, 606,19, 606
S, 137, 18,153, 18,153, 34,137, 34
-, 154, 18,162, 18,162, 34,154, 34
hs'4LIFE, 165, 18,273, 18,273, 34,165, 34
RBreaker, 137, 70,294, 70,294, 86,137, 86
モスバーガー, 137, 120,268, 120,268, 138,137, 138
カーニ, 137, 171,200, 170,200, 189,137, 190
バーガー, 201, 170,288, 169,288, 188,201, 189
KUSAAN, 136, 222,247, 221,247, 242,136, 243
S, 137, 276,153, 276,153, 292,137, 292
-, 153, 275,161, 275,161, 291,153, 291
hs'4INA, 164, 275,261, 275,261, 291,164, 291
トゥッ, 139, 327,199, 326,199, 345,139, 346
トゥルー, 206, 327,288, 326,288, 344,206, 345
*, 287, 326,298, 326,298, 344,287, 344
⌒, 300, 326,319, 326,319, 344,300, 344
★, 320, 326,344, 326,344, 344,320, 344
R, 136, 376,189, 376,189, 398,136, 398
Thunder, 192, 376,301, 376,301, 398,192, 398
LB6, 137, 430,187, 430,187, 447,137, 447
トゥッ, 140, 480,200, 480,200, 499,140, 499
トゥルー, 206, 480,289, 480,289, 499,206, 499
*, 287, 480,299, 480,299, 499,287, 499
⌒, 301, 480,321, 480,321, 499,301, 499
☆, 319, 480,343, 480,343, 499,319, 499
LB2, 137, 531,188, 532,188, 550,137, 549
SAWAYAN, 137, 583,265, 582,265, 602,137, 603
a, 409, 269,466, 269,466, 298,409, 298
77, 635, 20,668, 13,673, 37,640, 43
73, 637, 70,666, 70,666, 91,637, 91
71, 635, 122,667, 123,666, 144,634, 143
69, 634, 174,667, 174,667, 194,634, 194
58, 633, 225,667, 225,667, 246,633, 246
56, 634, 276,665, 276,665, 296,634, 296
51, 633, 327,664, 327,664, 347,633, 347
51, 632, 380,664, 380,664, 399,632, 399
48, 633, 432,665, 432,665, 450,633, 450
41, 633, 482,663, 481,663, 500,633, 501
32, 634, 535,665, 535,665, 555,634, 555
29, 632, 584,668, 585,668, 608,632, 607
